,Tour_ID,High Cost,Higher Cost,Highest Cost,Low Cost,Lower Cost,Normal Cost
37,tour_idw8zh4idj,0.49038786,0.35581735,0.011504966,0.0077952603,0.007983549,0.12651101
38,tour_idri1bxxwf,0.54607815,0.06221076,0.003924605,0.02908287,0.09501298,0.26369068
39,tour_id9jns3l59,0.079967365,0.3520369,0.52747124,0.0020904082,0.011852386,0.026581699
40,tour_idykz7qmpj,0.57757515,0.1290301,0.0046283756,0.0070146606,0.05084786,0.23090385
41,tour_idff7h0lmy,0.47507322,0.44578558,0.016206661,0.014937555,0.0077352915,0.040261716
42,tour_idjhminmzn,0.48215434,0.3934457,0.0058995564,0.0098000225,0.008180891,0.100519486
43,tour_idiihytata,0.13398573,0.79576963,0.029105239,0.010083925,0.0050672456,0.025988251
44,tour_idp48ka6jb,0.19901301,0.69715583,0.025360093,0.015358015,0.009765379,0.053347677
45,tour_idthc6m7sk,0.2607381,0.6412084,0.0154157905,0.010436306,0.0066667493,0.06553461
46,tour_idikm37slu,0.23434761,0.64336324,0.01793597,0.010673875,0.029925846,0.063753426
47,tour_idvay0ce8g,0.12305637,0.04616233,0.004443669,0.10177176,0.29867586,0.42589006
48,tour_idljettp5j,0.044591043,0.03746304,0.003443884,0.060928546,0.4466084,0.40696514
49,tour_id6b75m18g,0.06501255,0.0355274,0.0025541785,0.07145307,0.19662794,0.62882483
50,tour_idh1qz4kip,0.35548043,0.30834138,0.02904216,0.09205243,0.017590074,0.19749352
51,tour_idct1mds8n,0.3859581,0.52280056,0.005681894,0.01618763,0.0068760295,0.062495776
52,tour_idmdkapl5e,0.3357067,0.5350143,0.0055816504,0.034155585,0.007050241,0.08249153
53,tour_idtxl27kyw,0.2947631,0.095731355,0.0062502725,0.07280745,0.09875861,0.43168917
54,tour_id3f5s1s8k,0.28349537,0.3743789,0.016431386,0.019468984,0.021503393,0.28472197
55,tour_idmy8ugm33,0.2866104,0.5796579,0.01866111,0.008047922,0.004866389,0.10215622
56,tour_id15xhujqe,0.052544285,0.8551266,0.042693987,0.0048912056,0.0036841126,0.041059855
57,tour_idnvjzjzis,0.065199696,0.03660362,0.0026028159,0.057417568,0.16509159,0.67308474
58,tour_idicgj22ml,0.32704926,0.5586754,0.012440288,0.023195192,0.0062548034,0.07238506
59,tour_ideq6kef16,0.50830114,0.2805828,0.03073065,0.06824226,0.023407688,0.08873549
60,tour_idm3ru5o69,0.2255593,0.6639829,0.015481731,0.007825249,0.010520066,0.07663072
61,tour_idtjnibi1v,0.16711596,0.0704367,0.004636063,0.11490639,0.14482944,0.4980755
62,tour_id9mqg4jpi,0.45004982,0.31751513,0.0093715135,0.058927983,0.011658329,0.15247722
63,tour_id6qtlrlj0,0.26484382,0.19617462,0.004112873,0.059058428,0.06861696,0.40719333
64,tour_id7quxawwm,0.3397699,0.058575142,0.0036803475,0.015477783,0.01567607,0.56682074
65,tour_id37beg9uz,0.4294732,0.24832119,0.00478015,0.015776945,0.026288709,0.27535975
66,tour_idmul4fjnn,0.575832,0.0885741,0.002563199,0.028670995,0.054601654,0.2497581
67,tour_idotkse0oz,0.17818931,0.30416593,0.0035417639,0.0033679581,0.03995715,0.47077787
68,tour_idctl4gkkk,0.39488605,0.19254217,0.014215334,0.02554789,0.010076592,0.36273193
69,tour_idkzhlxsk5,0.5180796,0.25870913,0.007813097,0.0139775,0.012668742,0.18875198
70,tour_idt8nbpyzu,0.3024847,0.3082494,0.1614782,0.01892642,0.03657519,0.17228608
71,tour_idlvf31ik8,0.280812,0.19952224,0.0055760504,0.14125246,0.015784467,0.35705274
72,tour_idbgqv7ifs,0.059731923,0.19120361,0.0026161112,0.041307304,0.20993541,0.49520567
73,tour_id0prergei,0.054579172,0.039725043,0.0032653008,0.04340254,0.22247571,0.6365523
74,tour_idj7tc65fn,0.5115949,0.1503559,0.009710574,0.025173767,0.08922322,0.2139416
75,tour_idm1x1vxbw,0.050518144,0.04615913,0.003932281,0.011520443,0.45881197,0.42905805
76,tour_id21v0cxt1,0.30805653,0.22095881,0.012236925,0.109182194,0.0757171,0.27384844
77,tour_id1mcdpog2,0.15888196,0.03777005,0.0019198366,0.0047211475,0.07787717,0.7188298
78,tour_idhqzs2gq8,0.062430564,0.061252303,0.0045678616,0.013382513,0.3517833,0.50658345
79,tour_idbjvcvpse,0.057205845,0.027889235,0.0016990746,0.02875252,0.05346927,0.83098406
80,tour_idqmtjec5c,0.083618425,0.16886641,0.0050246087,0.04495216,0.08362711,0.6139113
81,tour_idjylqwsbx,0.30074397,0.3215471,0.0099921925,0.052189372,0.031007657,0.28451973
82,tour_id59lpui19,0.07272936,0.04462668,0.0034071996,0.011828897,0.5672499,0.30015796
83,tour_idfcuq5wgy,0.01866954,0.011653839,0.0037862016,0.32382202,0.09424281,0.5478256
84,tour_id7pyzqpkw,0.16148561,0.7343553,0.013690521,0.014189726,0.016963813,0.059315015
85,tour_ideb9lf8br,0.36468184,0.45214137,0.0033155421,0.025226261,0.016086735,0.1385482
86,tour_idzogf5dwk,0.34197295,0.22922333,0.012614305,0.06757604,0.028907884,0.31970552
87,tour_id41mnpgqc,0.1291548,0.7712684,0.022306636,0.028979773,0.010372891,0.037917398
88,tour_idmwyzw189,0.06582972,0.18147181,0.0031796151,0.075970955,0.5026389,0.17090902
89,tour_idtjumeoc1,0.23593718,0.4996393,0.0075072506,0.023827603,0.020811684,0.21227701
90,tour_idtncu3vvj,0.0937169,0.05546546,0.00332105,0.022975562,0.21935515,0.6051659
91,tour_idzcavo88u,0.05156123,0.08991379,0.0043850956,0.08182935,0.47850457,0.29380593
92,tour_idkot0odg6,0.037147112,0.11604022,0.0025469584,0.11976381,0.15162827,0.57287365
93,tour_id8z19zqq4,0.2581597,0.65379226,0.0057135494,0.014765338,0.008629638,0.05893952
94,tour_idm10lb8m7,0.07040802,0.034386337,0.0037716916,0.069400474,0.15116964,0.67086387
95,tour_idr3vd82x6,0.4235238,0.44212466,0.009614876,0.033144474,0.008885185,0.082706966
96,tour_iduzdp7vc3,0.46110463,0.38727596,0.012203037,0.019288326,0.006603771,0.1135243
97,tour_id095wm8uu,0.44057962,0.1559066,0.0031583644,0.009980958,0.01881199,0.37156248
98,tour_idfr76spf4,0.44915795,0.3753664,0.00553368,0.017130341,0.011750657,0.14106096
99,tour_idjs9dcswi,0.17127937,0.7167403,0.0026644801,0.022354538,0.012149066,0.07481224
100,tour_idz34rclqa,0.27084166,0.47147596,0.017104609,0.007459847,0.010715051,0.22240286
101,tour_id68ja64qt,0.66384804,0.15105897,0.0056042443,0.008453836,0.025977002,0.14505795
102,tour_idxac2uuqv,0.06133912,0.052630767,0.0035694381,0.07328834,0.26873532,0.54043704
103,tour_idf8oqfnlm,0.286756,0.2011083,0.005532135,0.038467817,0.06244562,0.40569013
104,tour_idvunzjwfc,0.15438055,0.76846987,0.019556867,0.006539245,0.011007864,0.040045615
105,tour_idw21ciy88,0.13746056,0.7740558,0.045430277,0.0026586351,0.007845496,0.0325493
106,tour_idh9xqxr96,0.12340012,0.112791635,0.0038708164,0.0185866,0.09057577,0.6507751
107,tour_idxverh9fy,0.040371507,0.058990333,0.0014512578,0.024128744,0.7589435,0.11611461
108,tour_idokj8jc82,0.6067523,0.22689666,0.004846908,0.007385463,0.017283449,0.13683525
109,tour_id7nzgco3n,0.27374342,0.4279192,0.014045084,0.059928652,0.02096173,0.20340192
110,tour_idssevzcvv,0.2965253,0.081044056,0.0022128918,0.01225636,0.048510693,0.5594507
111,tour_idpl6n18rb,0.06621198,0.04376832,0.0031260003,0.06472907,0.27920276,0.5429619
112,tour_id00ickkxa,0.06473124,0.034801636,0.0025592106,0.055073734,0.1857243,0.6571099
113,tour_idtc8elj66,0.23711734,0.6698424,0.007061828,0.032179013,0.005490858,0.04830853
114,tour_id9jslxdlc,0.14310709,0.7109136,0.07019596,0.014234688,0.023243839,0.038304802
115,tour_id7l1tqq3l,0.10556611,0.82693064,0.0071723224,0.01712664,0.008814584,0.034389637
116,tour_idarhine53,0.13791746,0.7670266,0.04705513,0.0021655848,0.0059383246,0.039896913
117,tour_id1ssjmgtf,0.02664137,0.056529667,0.0038473655,0.08084291,0.5059271,0.32621154
118,tour_idcjzpvsbd,0.04114,0.022522736,0.0021378805,0.026626343,0.059240296,0.84833276
119,tour_idp53f6fg8,0.031111104,0.061395388,0.00395615,0.07504686,0.38018948,0.44830102
120,tour_idrgw9c70j,0.5658208,0.24307083,0.0082988115,0.0071436637,0.011369811,0.16429606
121,tour_idlx2jlzs3,0.5753884,0.17742467,0.007332315,0.014294432,0.028971797,0.19658844
122,tour_idjateimuw,0.3575239,0.4260249,0.0054842955,0.010896465,0.010755063,0.18931535
123,tour_idof6v2a2t,0.08741968,0.103707515,0.009434775,0.06843145,0.24370451,0.48730206
124,tour_idbphqzwq0,0.19846034,0.6743728,0.021837167,0.00756679,0.0082453685,0.08951757
125,tour_idnju0d13b,0.4465522,0.38765505,0.013615082,0.011963991,0.019865675,0.12034802
126,tour_idbtqabgv8,0.2246405,0.5187361,0.012062655,0.012001266,0.02029882,0.21226062
127,tour_idkzy90idc,0.18709855,0.722964,0.04393709,0.0035669012,0.00993124,0.03250229
128,tour_idybhcrip4,0.16673864,0.30008632,0.002764499,0.011676854,0.013864241,0.5048694
129,tour_idgo26zwiw,0.10099956,0.7103427,0.06015464,0.024165398,0.006531803,0.097805925
130,tour_id6yuxzmbk,0.2249612,0.6097308,0.008298564,0.010367934,0.007473902,0.1391676
131,tour_idxl466y8a,0.57608676,0.16592535,0.009664424,0.018976731,0.03750444,0.19184235
132,tour_idx73vs98v,0.20747964,0.58877367,0.012119821,0.035941143,0.025802879,0.12988283
133,tour_id3r9btjk4,0.12935893,0.082866326,0.0023170696,0.014656641,0.17273682,0.5980642
134,tour_idhgq4urqb,0.23854052,0.6744319,0.015599363,0.0029593878,0.006772588,0.06169625
135,tour_idurejxr5g,0.36925444,0.43147692,0.004774832,0.010082147,0.008665234,0.17574635
136,tour_id8hmm45yg,0.36784405,0.55582887,0.0074188756,0.008744247,0.0055614165,0.054602582
137,tour_id18jsnowr,0.3074636,0.24604686,0.12861194,0.02631279,0.09945273,0.19211207
138,tour_idgs3jbjvb,0.35370272,0.28802145,0.009522131,0.0087770885,0.015196469,0.32478014
139,tour_idikwsynra,0.27993008,0.09351536,0.0037039453,0.029641235,0.057031643,0.53617775
140,tour_idxexxrypa,0.061756186,0.03168413,0.0027848645,0.052650988,0.07418932,0.7769345
141,tour_id4vle4re3,0.5104638,0.39446473,0.008829645,0.01070034,0.009750257,0.06579126
142,tour_id4ktjhmd1,0.37017274,0.34293765,0.009395977,0.007674946,0.013888757,0.25592992
143,tour_id51l3gvnj,0.2830803,0.5841593,0.004569925,0.024736494,0.0043145726,0.09913943
144,tour_id8pp1z0qj,0.28715992,0.23556566,0.005532384,0.022565247,0.06291488,0.3862619
145,tour_id60ehhnp2,0.2143419,0.63678926,0.018456925,0.032077096,0.0068414006,0.09149338
146,tour_idpxt0agk9,0.25927606,0.3122829,0.013471007,0.05560818,0.094228834,0.26513305
147,tour_id8zqbxmj5,0.20635977,0.67789495,0.023006525,0.0027665843,0.008288382,0.081683755
148,tour_idp5ukjn9m,0.007570347,0.017458301,0.0012666536,0.03326237,0.9028351,0.037607275
149,tour_idu7oecbie,0.012354948,0.03817388,0.0010147911,0.024421796,0.8837345,0.040300027
150,tour_id1dr9cikr,0.19140151,0.75135463,0.005322392,0.0066812336,0.005318977,0.039921194
151,tour_id0r3qxbif,0.37732828,0.08297642,0.003555565,0.051655825,0.055301,0.42918295
152,tour_idnox2sywq,0.21033803,0.58825976,0.004460204,0.034130216,0.011704801,0.15110695
153,tour_idy1jgkshd,0.013870248,0.08337884,0.0014322139,0.016835034,0.8521855,0.032298137
154,tour_idgww40skh,0.29714665,0.63133657,0.0029780648,0.0077883783,0.0064754463,0.05427491
155,tour_ida8jpbqln,0.31807372,0.54689354,0.025404282,0.013982513,0.010126257,0.08551972
156,tour_idhyrqzusv,0.21971384,0.08615706,0.0030810407,0.070756316,0.046055622,0.5742361
157,tour_idhad98cqz,0.10737977,0.5186161,0.0047883154,0.2301501,0.023635205,0.11543054
158,tour_idmwm72g00,0.34514594,0.40930057,0.0049336334,0.031160552,0.010565197,0.19889411
159,tour_idvwseyhh5,0.22618419,0.68135285,0.0060216226,0.0089232875,0.0053800484,0.07213802
160,tour_idgcf1yvij,0.05411948,0.030350575,0.003086892,0.08052482,0.2125719,0.6193463
161,tour_id3rxtrcif,0.14441432,0.79255587,0.011728273,0.016556619,0.0066550616,0.028089834
162,tour_idy8ljrftg,0.290416,0.43258697,0.010261892,0.0864164,0.028527034,0.15179166
163,tour_idnp3tf107,0.16325857,0.04546449,0.002018402,0.019166829,0.06043755,0.70965415
164,tour_id6flbqbca,0.39710027,0.11504775,0.0030308126,0.008046919,0.04561533,0.43115887
165,tour_idlwhkzuj1,0.27379835,0.4543543,0.13371424,0.010974532,0.01595927,0.11119931
166,tour_idyj7ih64p,0.3108884,0.0881334,0.0031858997,0.046157934,0.050808497,0.5008259
167,tour_idpsajjmyx,0.23722644,0.65805566,0.011535145,0.016159682,0.011043615,0.06597947
168,tour_iddjm6wl6i,0.14132215,0.031490877,0.0018565123,0.029627725,0.02489015,0.77081263
169,tour_idtagybv4g,0.20824715,0.266332,0.010976643,0.19788428,0.10455174,0.21200818
170,tour_idqafmheqa,0.30804038,0.40692672,0.016239453,0.026193157,0.02885907,0.21374118
171,tour_idyi6los82,0.37722996,0.29340506,0.009235057,0.021830015,0.1387186,0.15958132
172,tour_idih1eowcb,0.24180797,0.05324283,0.009180763,0.113673344,0.10155893,0.4805362
173,tour_id95d3hnoi,0.16792135,0.1303381,0.010426018,0.050777745,0.06496316,0.57557356
174,tour_idvldrbm0s,0.41807124,0.075973,0.0029580423,0.04094404,0.060743872,0.40130976
175,tour_idiu5a5tzw,0.16524012,0.6285741,0.03340502,0.049403775,0.05771896,0.06565806
176,tour_idv36rzh7c,0.039820515,0.055683024,0.0040031476,0.027294636,0.8040932,0.06910548
177,tour_id85njxjsn,0.35966069,0.29929483,0.02349707,0.011448385,0.019696299,0.2864027
178,tour_ids4xd11vg,0.1347269,0.8143455,0.01169653,0.011429204,0.006374889,0.021426937
179,tour_ids6e9lk9c,0.28327817,0.5650908,0.008950218,0.008443049,0.0044941218,0.12974365
180,tour_idhprlrkv6,0.42089438,0.1298084,0.0032988603,0.008758595,0.041001912,0.39623782
181,tour_id99pyaz9x,0.4672938,0.2069949,0.0046985927,0.02642968,0.027192071,0.26739097
182,tour_idg7e3ui4n,0.3804661,0.29112253,0.008519038,0.007311699,0.00938367,0.30319694
183,tour_idrh37r0j7,0.37077424,0.042942453,0.002349129,0.01341533,0.078098424,0.49242046
184,tour_iduxrqhcea,0.28157857,0.5992749,0.006214028,0.01769611,0.00994881,0.08528756
185,tour_id99d7kiwy,0.25354487,0.5833592,0.05040217,0.011429043,0.0065307645,0.094734
186,tour_idw8wm2o5v,0.32325828,0.11470855,0.003947449,0.021741934,0.19408563,0.3422582
187,tour_idqyq9zw0y,0.07643488,0.8012937,0.0062539335,0.0250804,0.03431363,0.056623504
188,tour_idivwq4v1w,0.038029436,0.05137952,0.0035371517,0.05832827,0.45630926,0.39241636
189,tour_id4xoqo9i1,0.19784582,0.6673638,0.008417058,0.015587672,0.020487303,0.090298325
190,tour_idnevz5lyh,0.104128584,0.76058596,0.018632269,0.017380882,0.021618953,0.077653356
191,tour_idn49b65yc,0.059010457,0.035320222,0.00203271,0.00513633,0.042830765,0.8556695
192,tour_idjrta1z0l,0.19393349,0.7266615,0.007700795,0.013499592,0.0059774625,0.052227166
193,tour_idequkopmm,0.13017906,0.622107,0.0044220663,0.011835513,0.05634822,0.17510812
194,tour_idkr5a8qhh,0.28081852,0.3943545,0.005250436,0.022463374,0.04991893,0.24719426
195,tour_idck1i9jpy,0.01712143,0.026359487,0.0019438486,0.050281912,0.76482373,0.13946961
196,tour_idamsemrsk,0.35451844,0.42431876,0.0053350823,0.0106,0.010462448,0.19476521
197,tour_ide41cohib,0.28461954,0.3760901,0.008990455,0.12716295,0.08248324,0.12065367
198,tour_id2capxqan,0.013870248,0.08337884,0.0014322139,0.016835034,0.8521855,0.032298137
199,tour_idmkyy3nzt,0.254958,0.28390968,0.0078161685,0.044374,0.013810956,0.39513114
200,tour_idnhl7qohv,0.19141026,0.23020968,0.006837837,0.016567746,0.046631824,0.5083427
201,tour_idh18uxy9f,0.10436091,0.039648946,0.0040394203,0.11149817,0.27849108,0.46196148
202,tour_idi0vhg24d,0.18569511,0.42492613,0.024993416,0.007366613,0.08114916,0.27586952
203,tour_ids4vqip7q,0.29135016,0.5637788,0.0039915275,0.00847376,0.006196285,0.12620944
204,tour_idgejmazuc,0.36292383,0.46842068,0.005307299,0.010793266,0.009938155,0.14261673
205,tour_idf80dee6z,0.22751008,0.4943706,0.007958116,0.012180879,0.026227318,0.23175299
206,tour_id52jj29ct,0.1521741,0.1317965,0.47819906,0.024149058,0.013271721,0.20040959
207,tour_idmku52s29,0.19980529,0.0950889,0.007998826,0.011008139,0.18032794,0.5057709
208,tour_idfj2056k5,0.37036347,0.16088867,0.009289273,0.016159724,0.08345323,0.35984564
209,tour_idk3s3sgcv,0.19244975,0.06167342,0.0055541648,0.15654229,0.034727603,0.5490528
210,tour_idz33d41ks,0.06311121,0.036519628,0.0023020336,0.0060201054,0.07101115,0.82103586
211,tour_idl0ttjrmc,0.21587664,0.47949633,0.019137232,0.022817653,0.11591505,0.14675714
212,tour_idu5k69z9i,0.17105798,0.07183264,0.0044229394,0.05510353,0.5441321,0.1534508
213,tour_idf66smscv,0.09672443,0.17175491,0.003927276,0.14794928,0.225089,0.35455513
214,tour_idur0p7exw,0.34163338,0.44886515,0.0065023704,0.030836063,0.008682747,0.16348033
215,tour_idjsiq8h6o,0.043688927,0.06877893,0.006441346,0.16069476,0.07271396,0.6476821
216,tour_idh2992qz6,0.11369736,0.7734963,0.06218806,0.0021265256,0.0049463883,0.043545347
217,tour_idzmu73uvr,0.25927228,0.15338905,0.0076165837,0.0285552,0.18434906,0.36681786
218,tour_idbsd6a9fg,0.4686389,0.20342858,0.006635695,0.04091644,0.07369613,0.20668426
219,tour_id4cj9lep8,0.23349774,0.5715854,0.021099346,0.022952413,0.048508827,0.10235624
220,tour_idd18a2stl,0.22408736,0.7019519,0.017502142,0.005479474,0.02094356,0.030035561
221,tour_idjrqlybhn,0.2625523,0.105556205,0.010862802,0.00825395,0.04527773,0.567497
222,tour_idxmfwoy4j,0.1827561,0.56319195,0.021711886,0.017669322,0.025299625,0.18937111
223,tour_idafio0e6r,0.19213416,0.6362197,0.040817548,0.009667993,0.011705598,0.10945499
224,tour_idwd2vbr79,0.4353498,0.08161238,0.0030121952,0.0104574105,0.09352865,0.37603956
225,tour_idtxmv1vn8,0.11633316,0.049759306,0.0026607758,0.026930852,0.072887115,0.73142874
226,tour_id55m6ye74,0.25725424,0.087238275,0.0019553741,0.0043945997,0.02804475,0.6211127
227,tour_idrjo6d6m0,0.4087339,0.28629357,0.0040742937,0.030396158,0.025616746,0.24488537
228,tour_id7vxwd2qi,0.20746091,0.16895996,0.005588577,0.068180494,0.009096261,0.5407138
229,tour_id2lx80ftk,0.30431485,0.24507895,0.0031021067,0.030219696,0.077449545,0.33983484
230,tour_idys87o0ds,0.18151201,0.046200443,0.0046694092,0.07251614,0.02143038,0.6736716
231,tour_id1fy4lusi,0.3991768,0.40998355,0.0060071596,0.016980141,0.01681597,0.15103634
232,tour_iduw6503kx,0.44259274,0.17034319,0.004240199,0.0112680895,0.03413833,0.33741748
233,tour_idu1kt91ev,0.40387657,0.044338174,0.0027373706,0.041194495,0.13398477,0.3738686
234,tour_id53o0z6dv,0.48202738,0.11987758,0.0051735076,0.015771823,0.01411855,0.36303112
235,tour_idz6rfgk6y,0.322422,0.40320215,0.00859003,0.018332548,0.03393697,0.21351634
236,tour_iddt68t83y,0.06089595,0.05560651,0.004187148,0.04009899,0.3827628,0.45644867
237,tour_idb6b9fe7o,0.18365306,0.2384276,0.0077636954,0.017199233,0.043549713,0.5094067
238,tour_idgiofw9gq,0.45133728,0.21971132,0.0046975305,0.06334604,0.019451797,0.24145605
239,tour_idlaknkcn4,0.35383692,0.5303237,0.020531274,0.0056388625,0.012840628,0.07682861
240,tour_id3tjp864r,0.36426997,0.052757416,0.0025966445,0.023528902,0.06398013,0.492867
241,tour_idy76hhahh,0.2493789,0.6274856,0.022524888,0.007828855,0.008254897,0.08452688
242,tour_idufgz5k4v,0.36198157,0.14512235,0.007955004,0.046329435,0.038215134,0.40039647
243,tour_idt79f2xgp,0.4089671,0.25745505,0.0057741213,0.019213272,0.046334065,0.26225638
244,tour_idrpkhu48l,0.16025585,0.5761324,0.012434867,0.021383516,0.010785914,0.21900749
245,tour_iddskibken,0.1626001,0.5162133,0.011349698,0.016739251,0.020361647,0.27273598
246,tour_id0yne0qoz,0.048656594,0.058514908,0.0038564827,0.04253244,0.3953695,0.45107004
247,tour_idswphik77,0.19517806,0.30191603,0.3343674,0.01821235,0.008233725,0.14209242
248,tour_idqq5ggah5,0.19776015,0.73624504,0.00768208,0.008818874,0.0094038565,0.040090024
249,tour_idu5zt4ri7,0.25896996,0.41550812,0.008026057,0.023252312,0.06569548,0.228548
250,tour_idvya147vx,0.039910164,0.85480464,0.06342099,0.0028608334,0.0038583204,0.03514506
251,tour_idrpntkknt,0.22097231,0.66795284,0.015721533,0.009042668,0.0101945,0.07611616
252,tour_idraeuhzn4,0.34680173,0.049902648,0.0022960051,0.03755854,0.07740809,0.48603302
253,tour_id9j5ntupu,0.22287436,0.6539677,0.023820305,0.007913321,0.009906243,0.08151814
254,tour_idzh5y8x5s,0.40681794,0.056783702,0.0035352842,0.059613634,0.14662714,0.32662228
255,tour_idml3wpa4x,0.0663226,0.77160925,0.019523673,0.08711176,0.017763894,0.037668835
256,tour_idb5wwneht,0.1348546,0.7335898,0.02249383,0.016356643,0.02736235,0.065342724
257,tour_id6j0d5sc0,0.3528067,0.42276537,0.010674696,0.0076673985,0.042770084,0.16331573
258,tour_id8jaxzf3i,0.4493011,0.1691188,0.008984775,0.020791264,0.046934545,0.30486953
259,tour_idqtljd0wy,0.36084574,0.08188063,0.0036588772,0.010125111,0.016350197,0.5271394
260,tour_id4rq5gax5,0.5490896,0.10785276,0.0038347438,0.05387643,0.1127529,0.17259361
261,tour_id220owjdl,0.19156711,0.6933068,0.045421157,0.008095484,0.0073769614,0.054232486
262,tour_idifc5uhep,0.02316331,0.030588621,0.003241989,0.049215063,0.6765652,0.21722585
263,tour_idquwcxoqm,0.123013,0.12152966,0.00867267,0.19103214,0.010911447,0.54484105
264,tour_id5dtj3tq9,0.23095407,0.64992154,0.03414478,0.0044787503,0.017540418,0.06296048
265,tour_id7y6t2y1a,0.33686554,0.039662868,0.002902568,0.032442495,0.17451131,0.41361517
266,tour_id7afyqg3c,0.16846566,0.05464054,0.0024387876,0.0052802092,0.077324145,0.69185066
267,tour_idkrwfvqny,0.41244903,0.1352532,0.0034072557,0.037963625,0.02625108,0.38467577
268,tour_idsab6ci0z,0.31203192,0.24950828,0.0055262884,0.014450003,0.028105827,0.3903777
269,tour_idtbcgl3ok,0.060253117,0.03179784,0.002378815,0.12571721,0.12353322,0.6563198
270,tour_idb29m1zc9,0.2425853,0.031818498,0.0027234291,0.062215786,0.2082789,0.4523781
271,tour_idg37cnny5,0.12974846,0.5863518,0.008034693,0.006272189,0.057422105,0.21217075
272,tour_idyivzhi1g,0.39632612,0.051632926,0.0027048492,0.016477853,0.09614408,0.4367142
273,tour_idys6jeerv,0.16210875,0.07908072,0.014369232,0.088816956,0.09809456,0.5575298
274,tour_idf2bhsuv9,0.15672491,0.052374016,0.0026145123,0.01402833,0.0980995,0.6761587
275,tour_idkslkxm6c,0.0816601,0.026311664,0.0022331483,0.042080157,0.72041523,0.12729973
